Day,DoW,Me,HK,AH,AS,JM,ZK,Backtracking
482,Mon,0:19,0:23,0:16,0:15,0:13,,0:07
483,Tue,1:59,2:48,1:18,0:58,1:08,,0:06
484,Wed,1:03,9:27,2:17,2:38,0:33,,0:09
485,Thu,1:15,3:18,0:57,1:30,0:34,,0:12
486,Fri,1:05,1:05,2:05,1:10,1:52,,0:09
487,Sat,1:04,0:57,0:47,1:06,0:29,,0:16
488,Sun,2:34,2:42,1:22,1:50,0:49,,0:16
489,Mon,1:09,0:43,0:33,1:03,0:32,,0:07
490,Tue,1:00,0:38,1:51,0:58,0:21,,0:07
491,Wed,1:26,1:36,1:29,1:30,5:05,,0:08
492,Thu,1:08,1:13,5:11,1:02,1:33,,0:07
493,Fri,1:04,1:17,1:09,1:11,0:51,,0:07
494,Sat,3:47,13:36,4:47,10:34,4:44,,0:09
495,Sun,1:48,7:40,2:25,1:59,2:17,,0:08
496,Mon,0:27,0:13,0:11,0:21,0:16,,0:05
497,Tue,0:28,0:22,0:14,0:47,0:06,,0:06
498,Wed,1:02,0:39,0:34,0:47,1:12,,0:07
499,Thu,2:18,3:37,0:42,1:00,1:02,,0:09
500,Fri,1:18,2:14,1:35,1:01,0:45,,0:14
501,Sat,3:46,3:04,1:55,2:44,3:07,,0:13
502,Sun,4:38,5:33,2:44,4:12,2:38,,0:13
503,Mon,0:24,0:19,1:20,0:20,,,0:06
504,Tue,1:01,0:41,0:38,0:51,0:44,,0:14
505,Wed,1:31,1:38,3:10,1:49,1:24,,0:13
506,Thu,1:56,,0:55,1:31,2:34,,0:14
507,Fri,1:16,4:24,4:53,1:52,2:05,,0:13
508,Sat,2:40,8:21,4:16,2:18,2:08,,0:09
509,Sun,1:58,1:55,2:32,3:02,1:34,,0:11
510,Mon,1:30,0:46,,0:46,1:01,,0:11
511,Tue,2:15,2:49,,1:56,3:09,,0:14
512,Wed,1:12,2:08,1:18,1:41,5:04,,0:14
513,Thu,2:07,1:31,,1:33,1:24,,0:11
514,Fri,1:27,0:46,,1:39,0:29,,0:09
515,Sat,4:34,3:25,6:15,6:27,3:39,,0:10
